Name,Reporting Group/s,RA,DEC,Discovery Mag/Flux,flux,SNR
FRB 20210807D,CRAFT,299.20416666666665,-0.8142777777777779,,,
FRB 20210804A,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210729D,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210727A,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210720G,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210720F,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210630A,UTMOST,260.78087083333327,7.861625,0.0,,
FRB 20210530F,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210530A,ALERT,332.60416666666663,16.368333333333332,,,
FRB 20210517C,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210517B,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210517A,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210505H,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210410D,MeerTRAP,326.08624999999995,-79.31819444444444,,,
FRB 20210408H,MeerTRAP,204.32604166666664,-28.28413888888889,,,
FRB 20210407E,CRAFT,78.69291666666666,27.070083333333333,,,
FRB 20210407C,CRAFT,77.0125,26.060833333333335,,,
FRB 20210407B,CRAFT,77.0125,26.060833333333335,,,
FRB 20210407A,CRAFT,77.0125,26.060833333333335,,,
FRB 20210405I,MeerTRAP,255.3395833333333,-49.54522222222222,,,
FRB 20210405H,CRAFT,77.0125,26.060833333333335,,,
FRB 20210405G,CRAFT,77.0125,26.060833333333335,,,
FRB 20210405F,CRAFT,77.0125,26.060833333333335,,,
FRB 20210405E,CRAFT,77.0125,26.060833333333335,,,
FRB 20210405D,CRAFT,77.0125,26.060833333333335,,,
FRB 20210405C,CRAFT,77.0125,26.060833333333335,,,
FRB 20210404F,CRAFT,77.0125,26.060833333333335,,,
FRB 20210404C,CRAFT,77.0125,26.060833333333335,,,
FRB 20210404B,CRAFT,77.03750000000001,26.145555555555553,,,
FRB 20210403B,CRAFT,77.0125,26.060833333333335,,,
FRB 20210403A,CRAFT,77.0125,26.060833333333335,,,
FRB 20210402A,CRAFT,76.97916666666664,26.03333333333333,,,
FRB 20210401D,CRAFT,77.0125,26.060833333333335,,,
FRB 20210401C,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210401B,CRAFT,77.0125,26.060833333333335,,,
FRB 20210401A,CRAFT,76.74999999999999,25.883333333333333,,,
FRB 20210320C,CRAFT,204.32,-15.410361111111111,0.0,,
FRB 20210318A,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210317A,ALERT,294.0583333333333,59.600833333333334,,,
FRB 20210303A,UTMOST,333.96791666666667,-46.092222222222226,0.0,,
FRB 20210214G,CRAFT,6.929166666666665,-5.832222222222222,0.0,,
FRB 20210212G,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210202D,MeerTRAP,296.70308333333327,-54.227444444444444,,,
FRB 20210127A,ALERT,252.4847333333333,26.624805555555557,,,
FRB 20210124A,ALERT,295.3523666666666,58.90847222222222,,,
FRB 20210118D,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210117A,CRAFT,339.9,-16.190333333333335,0.0,,
AT 2021afrb,ATLAS,145.32489999999999,-11.788363888888888,18.591,,
AT 2021frb,Pan-STARRS,145.5613458333333,-1.624477777777778,21.09,,
FRB 20201229E,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20201211A,MeerTRAP,67.439625,-27.50786111111111,,,
FRB 20201123A,MeerTRAP,263.669,-50.76722222222222,,,
FRB 20201020A,ALERT,207.85279999999997,49.03494444444444,,,
FRB 20201016B,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20200915A,MeerTRAP,42.41,4.6746944444444445,,,
FRB 20200906A,CRAFT,53.74999999999999,-14.066666666666666,0.0,,
FRB 20200719A,ALERT,140.41041666666666,77.4966388888889,,,
FRB 20200702E,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20200701I,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20200627A,CRAFT,326.75,-39.483333333333334,0.0,,
FRB 20200616A,PALFA,295.53237499999994,16.20903611111111,0.166,,
FRB 20200615E,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20200607A,FRBCAT,205.37770833333332,-5.140027777777778,0.0,,
FRB 20200523A,ALERT,283.9220833333333,47.16922222222222,,,
FRB 20200518A,ALERT,144.18744999999998,77.37605555555555,,,
FRB 20200516A,ALERT,284.20156249999997,46.862861111111116,,,
FRB 20200514B,UTMOST,105.25229166666666,-45.906933333333335,0.0,,
FRB 20200514A,ALERT,27.124854166666665,64.68025,,,
FRB 20200508A,FRBCAT,135.38495833333332,-65.59519444444445,0.0,,
FRB 20200430A,CRAFT,229.6708333333333,12.339722222222223,0.0,,
FRB 20200423A,VLA-realfast,29.502641666666666,65.71684166666667,0.13,,
FRB 20200419A,ALERT,285.1009833333333,81.71641666666667,,,
FRB 20200413A,MeerTRAP,328.56999999999994,-28.21,,,
FRB 20200405A,VLITE-Fast,198.36466666666664,36.593611111111116,0.0,,
FRB 20200324C,FRBCAT,29.503124999999997,65.71675277777778,0.0,,
FRB 20200324B,FRBCAT,29.503124999999997,65.71675277777778,0.0,,
FRB 20200323C,ALERT,332.7245833333333,15.760833333333334,,,
FRB 20200323B,FRBCAT,29.503124999999997,65.71675277777778,0.0,,
FRB 20200323A,FRBCAT,29.503124999999997,65.71675277777778,0.0,,
FRB 20200322A,ALERT,332.9666666666666,15.355,,,
FRB 20200321A,ALERT,142.04833333333332,76.01563888888889,,,
FRB 20200224B,ALERT,35.1125,19.451666666666664,,,
FRB 20200220D,FRBCAT,29.503124999999997,65.71675277777778,1.4,,
FRB 20200220C,FRBCAT,29.503124999999997,65.71675277777778,1.5,,
FRB 20200220B,FRBCAT,29.503124999999997,65.71675277777778,2.8,,
FRB 20200216A,ALERT,332.10033749999997,16.572919444444445,,,
FRB 20200213A,ALERT,140.59583333333333,77.03322222222222,,,
FRB 20200210A,ALERT,282.56249999999994,46.35252777777778,,,
FRB 20200125A,GBNCC,219.13158333333328,7.7019,0.0,,
FRB 20200120D,FRBCAT,29.503124999999997,65.71675277777778,0.98,,
FRB 20200120C,FRBCAT,29.503124999999997,65.71675277777778,1.3,,
FRB 20200120B,FRBCAT,29.503124999999997,65.71675277777778,2.28,,
AT 2020frb,MASTER,193.95637499999998,1.1479444444444444,19.0,,
FRB 20191228A,FRBCAT,344.24999999999994,-29.766666666666666,0.0,,
FRB 20191223B,FRBCAT,308.5589166666666,-75.14838611111112,0.0,,
FRB 20191219E,FRBCAT,29.503124999999997,65.71675277777778,3.58,,
FRB 20191219D,FRBCAT,29.503124999999997,65.71675277777778,1.09,,
FRB 20191219C,FRBCAT,29.503124999999997,65.71675277777778,1.24,,
FRB 20191115A,FRBCAT,29.503124999999997,65.71675277777778,1.18,,
FRB 20191109A,ALERT,308.4625,61.775055555555554,,,
FRB 20191108A,FRBCAT,23.445833333333333,31.858333333333334,27.0,,
FRB 20191107B,FRBCAT,120.48782083333333,-13.737644444444443,0.0,,
FRB 20191020B,ALERT,307.7166666666666,61.97972222222222,,,
FRB 20191001A,FRBCAT,323.0,-54.666666666666664,0.0,,
FRB 20190926B,ALERT,25.454166666666662,30.990111111111112,,,
FRB 20190804A,CRAFT,329.41666666666663,-80.35777777777777,,,
FRB 20190714A,FRBCAT,183.975,-13.0,0.0,,
