Name,Reporting Group/s,RA,DEC,Discovery Mag/Flux,flux,SNR
FRB 20090625A,FRBCAT,46.945833333333326,-29.92666666666667,1.15,,
FRB 20010724A,FRBCAT,19.525,-75.205,30.0,,
FRB 20010621A,FRBCAT,283.0208333333333,-8.493055555555555,0.41,,
FRB 20010312A,FRBCAT,81.72874999999999,-64.93866666666668,0.25,,
FRB 20010305A,FRBCAT,74.33125,-52.60685277777778,4.2,,
FRB 20010125A,FRBCAT,286.7208333333333,-40.620555555555555,0.54,,
FRB 19921212A,,326.56249999999994,-7.783333333333333,0.62,,
FRB 19920913A,,225.74999999999997,-5.2,0.23,,
FRB 19920428A,,257.24999999999994,-15.6,0.36,,
FRB 19910730A,,106.69124999999998,-43.55,0.77,,
FRB 20181014D,CHIME,216.15713291762933,-2.932584560023532,,7.185178756299596,
FRB 20181027A,CHIME,132.01637902475335,-4.236687734221822,,2.909813067136855,
FRB 20181118A,CHIME,20.759902460949284,-6.409128258578948,,3.2209932406323096,
FRB 20190104B,CHIME,234.84085720686292,-6.250763787609951,,2.428722013337157,
FRB 20190113A,CHIME,108.25017958514596,-2.984759686831757,,1.1644260782444953,
FRB 20190410A,CHIME,263.58019469977467,-2.3707146222219717,,2.5209001176989787,
FRB 20190515D,CHIME,67.24561768488364,-5.014726328018668,,2.617350270801305,
FRB 20190605C,CHIME,168.441309224066,-5.18147201060332,,2.68087974717454,
FRB 20190805B,CHIME,333.2751510491747,-8.512824667810786,,1.730681893359116,
FRB 20190824I,CHIME,164.56571163748382,-9.052622852510424,,3.528684720111198,
FRB 20190914A,CHIME,337.7550098842101,-6.409496235894179,,1.879479137319158,
FRB 20191019A,CHIME,264.96834125227355,-1.1394547808586597,,4.973188033183815,
FRB 20191026A,CHIME,55.63279271240769,-6.364904874530499,,2.5890893380024447,
FRB 20191026B,CHIME,55.5406625975155,-6.367424301886548,,2.329716884186244,
FRB 20200109F,CHIME,149.69449706014927,-1.6602805699178484,,1.0237728753630029,
FRB 20200124D,CHIME,149.7798432647018,-0.429435196294769,,1.0929907514841846,
FRB 20200204F,CHIME,357.1084477635676,-9.281757489211532,,5.937555321479794,
FRB 20200222E,CHIME,35.00399888322676,-1.845471875829487,,1.456281844682719,
FRB 20200229B,CHIME,354.94485665083454,-1.24016840850098,,1.2089423301833446,
FRB 20200305B,CHIME,47.744007043427146,-9.11946765529937,,13.491792978953928,
FRB 20200306C,CHIME,250.3368146004892,-1.111831549839588,,3.867465048194465,
FRB 20200308C,CHIME,168.78958910300705,-9.053125444062648,,3.034592728707107,
FRB 20200321G,CHIME,108.28243615213694,-2.9817665033300336,,1.7673510444875726,
FRB 20200420B,CHIME,120.44225582828156,-6.945991090129065,,1.7356439372663424,
FRB 20200702A,CHIME,131.08124607043408,-9.080053584220476,,1.1060200876905306,
FRB 20200723B,CHIME,190.3965296858803,-5.112673241111569,,4.467988099757907,
FRB 20200801C,CHIME,334.53970097761766,-8.533576177990106,,1.1771412290432977,
FRB 20200816B,CHIME,285.4565511584324,-3.6962488821804,,2.1897145635102007,
FRB 20200912A,CHIME,21.92332727066073,-0.641494985449894,,0.7768131713443577,
FRB 20201026F,CHIME,14.285152651360374,-5.724107612634725,,1.6313498689166763,
FRB 20201104B,CHIME,332.9477004676694,-2.8440732560399824,,2.6384393696854325,
FRB 20201126C,CHIME,354.71185823135534,-7.817343011365601,,32.964888273396674,
FRB 20201227A,CHIME,336.18643188476506,-8.520772855164669,,0.5449191817541827,
FRB 20201228D,CHIME,137.59762037468175,-3.574918188491868,,0.5956103725367189,
FRB 20210204D,CHIME,133.38220479449996,-6.2235767317749495,,0.4266390364137705,
FRB 20210222B,CHIME,202.9011302805121,-1.0762338768881468,,1.7332962914811991,
FRB 20210222B,CHIME,202.9011302805121,-1.0762338768881468,,1.7332962914811991,
FRB 20210222B,CHIME,202.9011302805121,-1.0762338768881468,,1.7332962914811991,
FRB 20210312C,CHIME,58.48279948911432,-1.1984347537465836,,1.797801056494715,
FRB 20210415A,CHIME,247.4850088592609,-0.4858502311527229,,0.6891588229904744,
FRB 20210513C,CHIME,192.60086316370212,-3.5573260930866684,,1.0063367309755362,
FRB 20210531C,CHIME,202.6511688232445,-3.5545204483427515,,1.3818034330447002,
FRB 20210720D,CHIME,119.37951113635737,-8.351209291518625,,1.1413794484002493,
FRB 20210724A,CHIME,199.154893127323,-0.4293076304522311,,6.004072454614784,
FRB 20210828B,CHIME,265.0462616496054,-0.5413298748305353,,3.4665983615428155,
FRB 20210909B,CHIME,336.44304708535526,-6.50718809010832,,64.43966454615834,
FRB 20211001D,CHIME,164.172272361291,-5.4964499796387845,,1.2052118544442538,
FRB 20211002B,CHIME,307.2990024076612,-0.6006878882910297,,1.5169201300390838,
FRB 20211006C,CHIME,74.41277750215812,-7.034499390930669,,0.564377412291798,
FRB 20211020A,CHIME,145.4901670034277,-4.585874799389315,,1.91741903052056,
FRB 20211103E,CHIME,300.838269295215,-8.479554459189847,,1.638014162173267,
FRB 20211104D,CHIME,7.87243610115811,-7.795669911649988,,12.562174618207726,
FRB 20211204B,CHIME,106.36388093667742,-2.987183953114753,,1.09613230789154,
FRB 20220131B,CHIME,294.4605739302816,-2.432852046025761,,1.822006710382284,
FRB 20220315B,CHIME,232.85581605921675,-2.3118966069509934,,1.7760439150346037,
FRB 20220811B,CHIME,78.52979471231099,-2.407645447541966,,0.9767041398467337,
FRB 20221230B,CHIME,1.445318498474674,-1.2904205203851666,,3.120025059760878,
FRB 20230123A,CHIME,329.0805576145774,-5.070398537742534,,1.962665655328072,
FRB 20230323B,CHIME,148.60707376494037,-4.8475065951464416,,0.9313623311600188,
FRB 20230411E,CHIME,356.9783532790194,-5.76200710523067,,3.902433217128732,
FRB 20230426B,CHIME,183.74400520089023,-5.491099874043404,,1.2069382054563031,
FRB 20230511B,CHIME,254.5286322630925,-3.6263288050911706,,3.72425145385776,
FRB 20230513D,CHIME,63.84994958085222,-2.44441399679024,,1.773984450961143,
FRB 20230528F,CHIME,57.1566992287278,-9.22864779253312,,1.1008490896621153,
FRB 20230624A,CHIME,179.29225049475158,-6.173015438987374,,1.2477472083868093,
FRB 20230712G,CHIME,108.15426003078154,-2.971016815762141,,0.9642606693062652,
FRB 19970528A ,PARKES,135.51583333333332,-46.24,,,7.4
FRB 19980624A ,PARKES,73.40916666666665,-53.829861111111114,,,7.6
FRB 19990124A ,PARKES,253.2133333333333,-57.75061111111111,,,7.3
FRB 19990427A ,PARKES,205.50624999999997,-59.431777777777775,,,7.7
FRB 19990511A ,PARKES,213.09041666666664,-72.60616666666667,,,7.7
FRB 19990511B ,PARKES,277.7345833333333,-38.71563888888889,,,7.2
FRB 19990512A ,PARKES,217.80374999999998,-49.006,,,7.4
FRB 19990513B ,PARKES,250.44791666666663,-37.10816666666667,,,7.5
FRB 19990514A ,PARKES,200.85374999999996,-55.29644444444444,,,7.5
FRB 20000115A ,PARKES,200.53124999999997,-57.74022222222222,,,7.5
FRB 20000118A ,PARKES,192.58749999999998,-66.49258333333333,,,7.5
FRB 20000210A ,PARKES,186.76499999999996,-58.07102777777778,,,7.2
FRB 20000521A ,PARKES,224.17041666666663,-63.58733333333333,,,7.9
FRB 20000529A ,PARKES,263.62291666666664,-40.55958333333333,,,7.8
FRB 20000622A ,PARKES,12.325416666666664,-74.40877777777779,,,7.3
FRB 20000622B ,PARKES,11.307916666666666,-74.818,,,7.2
FRB 20000622C ,PARKES,13.271666666666665,-73.99805555555555,,,7.4
FRB 20000725A ,PARKES,283.2083333333333,-6.869000000000001,,,7.5
FRB 20000925A ,PARKES,77.47916666666666,-69.99713888888888,,,7.5
FRB 20000928A ,PARKES,71.70916666666666,-67.2581111111111,,,7.5
FRB 20001109A ,PARKES,23.825,-72.02155555555555,,,8.0
FRB 20001116A ,PARKES,251.16666666666669,-39.49561111111111,,,7.4
FRB 20001117A ,PARKES,124.82749999999997,-38.64136111111111,,,7.3
FRB 20001118A ,PARKES,256.24875,-49.85780555555556,,,8.0
FRB 20001123A ,PARKES,75.16666666666666,-64.96283333333334,,,8.1
FRB 20001222A ,PARKES,82.96999999999998,-66.74905555555556,,,7.5
FRB 20010116A ,PARKES,214.26666666666665,-43.625277777777775,,,7.2
FRB 20010116B ,PARKES,210.63541666666663,-40.66647222222222,,,7.3
FRB 20010116C ,PARKES,214.8395833333333,-42.18047222222222,,,7.3
FRB 20010116D ,PARKES,218.6220833333333,-43.93577777777777,,,7.5
FRB 20010116E ,PARKES,250.81124999999994,-19.59975,,,7.5
FRB 20010121A ,PARKES,194.58333333333331,-82.10333333333332,,,7.6
FRB 20010121B ,PARKES,262.0704166666666,-69.33908333333333,,,7.1
FRB 20010122A ,PARKES,256.85166666666663,-67.06994444444445,,,7.9
FRB 20010122B ,PARKES,257.3545833333333,-64.56166666666667,,,7.2
FRB 20010122C ,PARKES,146.90374999999997,-28.858861111111114,,,7.5
FRB 20010122D ,PARKES,175.83791666666664,-42.4965,,,7.7
FRB 20010122E ,PARKES,175.27708333333334,-45.16913888888889,,,7.6
FRB 20010122F ,PARKES,186.46541666666664,-45.46333333333334,,,7.5
FRB 20010123A ,PARKES,118.62708333333333,-67.07633333333332,,,7.3
FRB 20010124A ,PARKES,278.12,-43.635666666666665,,,7.2
FRB 20010125B ,PARKES,182.80749999999998,-43.51616666666666,,,8.1
FRB 20010125C ,PARKES,146.57166666666666,-79.45716666666667,,,7.5
FRB 20010125D ,PARKES,282.76124999999996,-37.33025000000001,,,7.4
FRB 20010127A ,PARKES,155.01208333333332,-32.40519444444444,,,7.2
FRB 20010127B ,PARKES,163.24874999999997,-43.060944444444445,,,7.2
FRB 20010128A ,PARKES,164.6808333333333,-81.09675,,,7.3
FRB 20010128B ,PARKES,235.34791666666666,-31.72363888888889,,,7.2
FRB 20010215A ,PARKES,87.93749999999999,-71.23372222222223,,,7.2
FRB 20010303A ,PARKES,62.292916666666656,-44.485083333333336,,,7.2
FRB 20010316A ,PARKES,83.67583333333333,-37.044916666666666,,,7.7
FRB 20010509A ,PARKES,75.01874999999998,-67.91983333333334,,,7.6
FRB 20010612A ,PARKES,24.884166666666662,-75.02338888888889,,,7.4
FRB 20010619A ,PARKES,267.39374999999995,-16.8,,,7.3
FRB 20010621B ,PARKES,150.45541666666668,-13.900194444444445,,,7.5
