,ZTF,CRAFT,MeerTRAP,Pan-STARRS,ALeRCE,ATLAS,VLA-realfast,GaiaAlerts,UTMOST,Tianlai,ALERT,TRAPUM,PALFA,FRBCAT,VLITE-Fast,GBNCC,MASTER,ASAS-SN,CHIME,PARKES,FAST
TRAPUM,-8.138683161064475e-05,-0.0001683879733575443,-0.00028205854028420725,-0.00016279353830997916,-8.138683161064476e-05,-0.0001627935383099792,-0.00016279353830997884,-0.00016279353830997862,-0.00016279353830997813,-8.138683161064482e-05,-0.0003364226470224951,1.0,-8.138683161064483e-05,-0.0003811018271008615,-8.138683161064485e-05,-8.13868316106448e-05,-8.138683161064482e-05,-8.13868316106447e-05,-0.001102858241603265,-0.0007089223072351795,-0.0002700394939902236
PALFA,-8.138683161064482e-05,-0.0001683879733575445,-0.0002820585402842075,-0.0001627935383099793,-8.138683161064483e-05,-0.00016279353830997927,-0.00016279353830997895,-0.0001627935383099788,-0.00016279353830997832,-8.138683161064486e-05,-0.0003364226470224953,-8.138683161064482e-05,1.0,-0.00038110182710086204,-8.138683161064487e-05,-8.138683161064487e-05,-8.138683161064489e-05,-8.138683161064476e-05,-0.0011028582416032658,-0.0007089223072351802,-0.00027003949399022386
FRBCAT,-0.0003811018271008616,0.03413069074892017,0.008925181701052193,-0.0007622967212552442,-0.0003811018271008618,-0.0007622967212552446,0.31857072978275774,-0.0007622967212552413,-0.0007622967212552388,-0.00038110182710086193,0.004800715500685166,-0.0003811018271008615,-0.0003811018271008621,1.0,-0.0003811018271008619,-0.000381101827100862,-0.0003811018271008621,-0.00038110182710086144,0.16925667392976923,0.004310634359886615,0.009436621906541995
VLITE-Fast,-8.13868316106448e-05,-0.00016838797335754453,-0.0002820585402842076,-0.0001627935383099793,-8.13868316106448e-05,-0.00016279353830997925,-0.0001627935383099789,-0.0001627935383099788,-0.00016279353830997832,-8.138683161064486e-05,-0.0003364226470224952,-8.138683161064485e-05,-8.138683161064487e-05,-0.0003811018271008618,1.0,-8.138683161064487e-05,-8.13868316106449e-05,-8.138683161064476e-05,0.002208141531868771,-0.0007089223072351804,-0.00027003949399022386
GBNCC,-8.138683161064482e-05,-0.00016838797335754445,-0.0002820585402842075,-0.00016279353830997892,-8.138683161064483e-05,-0.00016279353830997933,-0.00016279353830997897,-0.0001627935383099788,-0.00016279353830997797,-8.138683161064486e-05,-0.0003364226470224954,-8.13868316106448e-05,-8.138683161064487e-05,-0.000381101827100862,-8.138683161064487e-05,1.0,-8.13868316106449e-05,-8.138683161064303e-05,-0.0011028582416032664,-0.0007089223072351801,-0.0002700394939902238
MASTER,-8.138683161064483e-05,-0.00016838797335754443,-0.0002820585402842075,-0.00016279353830997933,-8.138683161064485e-05,-0.00016279353830997933,-0.000162793538309979,-0.00016279353830997878,-0.00016279353830997832,-8.138683161064491e-05,-0.0003364226470224953,-8.138683161064482e-05,-8.138683161064487e-05,-0.00038110182710086204,-8.138683161064489e-05,-8.138683161064489e-05,1.0,-8.138683161064478e-05,-0.0011028582416032662,-0.0007089223072351802,-0.00027003949399022386
ASAS-SN,-8.138683161064471e-05,-0.0001683879733575442,-0.0002820585402842071,-0.00016279353830997835,-8.138683161064472e-05,-0.00016279353830997908,-0.00016279353830997873,-0.00016279353830997857,-0.00016279353830997775,-8.138683161064475e-05,-0.0003364226470224949,-8.13868316106447e-05,-8.138683161064476e-05,-0.00038110182710086144,-8.138683161064476e-05,-8.138683161064303e-05,-8.138683161064478e-05,1.0,0.0022081415318687923,-0.0007089223072351792,-0.00027003949399022353
CHIME,0.005519141305340759,0.01620764045479228,-0.0028658928506678275,-0.0022059858069402357,-0.0011028582416032673,-0.0022059858069402357,0.15177430275880424,-0.0022059858069402296,-0.002205985806940222,0.005519141305340781,0.046616550658119725,-0.0011028582416032647,-0.001102858241603266,0.16925667392976923,0.002208141531868771,-0.0011028582416032664,-0.0011028582416032662,0.0022081415318687928,1.0,-0.008538309225385829,-0.00066312490666364
PARKES,-0.0007089223072351797,0.0006935540856959163,0.028602923752126762,-0.0014180177369946235,-0.0007089223072351799,-0.0014180177369946235,-0.0014180177369946215,-0.0014180177369946185,-0.001418017736994615,-0.0007089223072351803,-0.0029304190175915338,-0.0007089223072351795,-0.0007089223072351802,0.004310634359886615,-0.0007089223072351804,-0.0007089223072351802,-0.0007089223072351802,-0.0007089223072351792,-0.008538309225385827,1.0,-0.0023521866785526898
FAST,-0.0002700394939902237,-0.0005587071301294298,-0.0009358632592843977,-0.000540144933033063,-0.0002700394939902236,-0.0005401449330330629,-0.0005401449330330616,-0.000540144933033061,-0.0005401449330330593,-0.0002700394939902238,-0.0011162420206185365,-0.00027003949399022364,-0.00027003949399022386,0.009436621906541993,-0.0002700394939902238,-0.0002700394939902238,-0.00027003949399022386,-0.00027003949399022353,-0.00066312490666364,-0.0023521866785526898,1.0
